Year,Value,Sector
2016,4.664785,Natural Gas Plant Liquids Production
2017,4.987096,Natural Gas Plant Liquids Production
2018,5.726973,Natural Gas Plant Liquids Production
2019,6.351729,Natural Gas Plant Liquids Production
2020,6.804761,Natural Gas Plant Liquids Production
2021,7.060591,Natural Gas Plant Liquids Production
1949,0.0,Nuclear Electric Power Production
1950,0.0,Nuclear Electric Power Production
1951,0.0,Nuclear Electric Power Production
1952,0.0,Nuclear Electric Power Production
1953,0.0,Nuclear Electric Power Production
1954,0.0,Nuclear Electric Power Production
1955,0.0,Nuclear Electric Power Production
1956,0.0,Nuclear Electric Power Production
1957,0.000112,Nuclear Electric Power Production
1958,0.001915,Nuclear Electric Power Production
1959,0.002187,Nuclear Electric Power Production
1960,0.006026,Nuclear Electric Power Production
1961,0.019678,Nuclear Electric Power Production
1962,0.026394,Nuclear Electric Power Production
1963,0.038147,Nuclear Electric Power Production
1964,0.039819,Nuclear Electric Power Production
1965,0.043164,Nuclear Electric Power Production
1966,0.064158,Nuclear Electric Power Production
1967,0.088456,Nuclear Electric Power Production
1968,0.141534,Nuclear Electric Power Production
1969,0.153722,Nuclear Electric Power Production
1970,0.239347,Nuclear Electric Power Production
1971,0.412939,Nuclear Electric Power Production
1972,0.583752,Nuclear Electric Power Production
1973,0.910177,Nuclear Electric Power Production
1974,1.272083,Nuclear Electric Power Production
1975,1.899798,Nuclear Electric Power Production
1976,2.111121,Nuclear Electric Power Production
1977,2.701762,Nuclear Electric Power Production
1978,3.024126,Nuclear Electric Power Production
1979,2.775827,Nuclear Electric Power Production
1980,2.739169,Nuclear Electric Power Production
1981,3.007589,Nuclear Electric Power Production
1982,3.131148,Nuclear Electric Power Production
1983,3.202549,Nuclear Electric Power Production
1984,3.552531,Nuclear Electric Power Production
1985,4.075563,Nuclear Electric Power Production
1986,4.380109,Nuclear Electric Power Production
1987,4.753933,Nuclear Electric Power Production
1988,5.586968,Nuclear Electric Power Production
1989,5.602161,Nuclear Electric Power Production
1990,6.10435,Nuclear Electric Power Production
1991,6.422132,Nuclear Electric Power Production
1992,6.479206,Nuclear Electric Power Production
1993,6.410499,Nuclear Electric Power Production
1994,6.693877,Nuclear Electric Power Production
1995,7.075436,Nuclear Electric Power Production
1996,7.086674,Nuclear Electric Power Production
1997,6.596992,Nuclear Electric Power Production
1998,7.067809,Nuclear Electric Power Production
1999,7.610256,Nuclear Electric Power Production
2000,7.862349,Nuclear Electric Power Production
2001,8.028853,Nuclear Electric Power Production
2002,8.145429,Nuclear Electric Power Production
2003,7.959622,Nuclear Electric Power Production
2004,8.222774,Nuclear Electric Power Production
2005,8.16081,Nuclear Electric Power Production
2006,8.214626,Nuclear Electric Power Production
2007,8.458589,Nuclear Electric Power Production
2008,8.426491,Nuclear Electric Power Production
2009,8.35522,Nuclear Electric Power Production
2010,8.434433,Nuclear Electric Power Production
2011,8.268698,Nuclear Electric Power Production
2012,8.061822,Nuclear Electric Power Production
2013,8.244433,Nuclear Electric Power Production
2014,8.337559,Nuclear Electric Power Production
2015,8.336886,Nuclear Electric Power Production
2016,8.426753,Nuclear Electric Power Production
2017,8.418968,Nuclear Electric Power Production
2018,8.438068,Nuclear Electric Power Production
2019,8.451852,Nuclear Electric Power Production
