name,tag,origin
Duku,Road,Malay
Everitt,Road,British
Teng Tong,Road,Chinese
Stangee,Lorong,Malay
Stangee,Close,Malay
Pulasan,Road,Malay
Nangka,Lorong,Malay
Duku,Place,Malay
Joo Chiat,Terrace,Chinese
Joo Chiat,Lane,Chinese
Mangis,Road,Malay
Changi,Lorong,Malay
Langsat,Road,Malay
Turl,Jalan,British
Marine,Crescent,Generic
Marine,Terrace,Generic
Wilton,Gardens,British
Lothian,Terrace,British
Ettrick,Terrace,British
Cheviot,Hill,British
Burnfoot,Terrace,British
East,Coast Drive,Generic
East,Coast Avenue,Generic
Buloh Perindu,Jalan,Malay
East,Coast Terrace,Generic
Chapel,Close,Generic
Cheow Keng,Road,Chinese
Seraya,Road,Malay
Carpmael,Road,British
Amber,Gardens,Other
Crescent,Road,Generic
Seaview,Jalan,Generic
Sedap,Jalan,Malay
Bournemouth,Road,British
Wilkinson,Road,British
Avon,Road,British
Goodman,Road,British
Branksome,Road,British
Lyndhurst,Road,British
Clacton,Road,British
Walton,Road,British
Nuri,Jalan,Malay
Mayfield,Avenue,British
Fowlie,Road,British
Pennefather,Road,British
Marshall,Lane,British
Ceylon,Road,Indian
Crane,Road,British
Buangkok,View,Malay
Lima,Lengkong,Malay
Satu,Lengkong,Malay
Empat,Lengkong,Malay
Selamat,Jalan,Malay
Sayang,Jalan,Malay
Kupang,Jalan,Malay
Tay Lian Teck,Drive,Chinese
Elliot,Road,British
Ulu Siglap,Jalan,Malay
Woo Mon Chew,Road,Chinese
Figaro,Street,Other
Aida,Street,Other
Norma,Terrace,British
Dido,Street,Other
Swan Lake,Avenue,Generic
Maria,Avenue,British
Siglap,Hill,Malay
Bangsawan,Jalan,Malay
Evergreen,Avenue,Generic
Kew,Crescent,British
Palm,Road,Generic
Palm,Avenue,Generic
Elliot,Walk,British
Palm,Drive,Generic
Abu Talib,Lorong,Malay
Springside,Drive,Generic
Tanah Puteh,Jalan,Malay
Primrose,Avenue,Generic
Evergreen,Gardens,Generic
Hajijah,Jalan,Malay
Pokok Serunai,Jalan,Malay
Thong Soon,Road,Chinese
Tanjong,Jalan,Malay
Tiga,Lengkong,Malay
Dua,Lengkong,Malay
Daud,Jalan,Malay
Dryburgh,Avenue,British
Fidelio,Street,Other
Bintang Tiga,Jalan,Malay
Metropole,Drive,British
Rienzi,Street,Other
Ernani,Street,Other
Tosca,Street,Other
Dafne,Street,Other
Lakme,Street,Other
Carmen,Street,Other
Lakme,Terrace,Other
Tua Kong,Jalan,Chinese
Siglap,Walk,Malay
Siglap,View,Malay
Siglap,Valley,Malay
Siglap,Terrace,Malay
Siglap,Road,Malay
Terang Bulan,Jalan,Malay
Siglap,Taman,Malay
Siglap,Drive,Malay
Siglap,Bank,Malay
Sea,Avenue,Generic
Marine,Drive,Generic
Dover,Avenue,British
Beringin,Jalan,Malay
Tembusu,Jalan,Malay
Binja,Jalan,Malay
Gajus,Jalan,Malay
Seraya,Lane,Malay
Haig,Avenue,British
Haig,Lane,British
Mugliston,Road,British
Martia,Road,British
Rendang,Jalan,Malay
Siglap,Gardens,Malay
Bayshore,Road,Generic
Lucky,Heights,Generic
Yio Chu Kang,Terrace,Chinese
Parbury,Avenue,British
Riviera,Drive,Generic
Lucky,Gardens,Generic
Pakis,Jalan,Malay
Lucky,Rise,Generic
Cavenagh,Road,British
Sennett,Avenue,British
Sennett,Road,British
Sennett,Drive,British
Sennett,Lane,British
Sennett,Place,British
Remis,Jalan,Malay
Lucky,View,Generic
Lucky,Crescent,Generic
Limau Purut,Jalan,Malay
Limau Balli,Jalan,Malay
Limau Manis,Jalan,Malay
Haji Salam,Jalan,Malay
Kew,Drive,British
Salam,Walk,Malay
Limau,Garden,Malay
Kew,Terrace,British
Kew,Walk,British
Kew,Heights,British
Mayflower,Rise,British
Mayflower,Drive,British
Mayflower,Place,British
Mayflower,Crescent,British
Mayflower,Way,British
Mayflower,Terrace,British
Mayflower,Link,British
Ellington,Square,British
Menarong,Jalan,Malay
Poh Huat,Road,Chinese
Florence,Road,Chinese
Lim Ah Pin,Road,Chinese
Park Villas,Rise,Generic
Poh Huat,Terrace,Chinese
Park Villas,Green,Generic
Park Villas,Terrace,Generic
Poh Huat,Crescent,Chinese
Robey,Crescent,British
Poh Huat,Drive,Chinese
Kang Choo Bin,Road,Chinese
Kang Choo Bin,Walk,Chinese
Chuan Hoe,Avenue,Chinese
Parry,Walk,British
Phillips,Avenue,British
Parry,Road,British
Limbok,Jalan,Malay
Limbok,Terrace,Malay
Simon,Lane,British
Loyang,Way,Malay
Tani,Jalan,Malay
Parry,Avenue,British
Glasgow,Road,British
Rosyth,Road,British
Rosyth,Avenue,British
Leith,Road,British
Leith,Park,British
Sirat,Place,Malay
Hong Lee,Place,Chinese
Hillside,Drive,Generic
Jansen,Road,British
Richards,Place,British
Flower,Road,Generic
Chorak,Jalan,Malay
Ee Teow Leng,Road,Chinese
Palm,Grove Avenue,Generic
Sirat,Road,Malay
Simon,Place,British
Simon,Road,British
Loyang,Cres,Malay
Loyang,Lane,Malay
Loyang,Drive,Malay
Loyang,Street,Malay
Loyang,Link,Malay
Marsiling,Industrial Road,Chinese
Tuas,Street,Malay
Tuas,Drive,Malay
Tuas,Lane,Malay
Faber,Walk,British
Faber,Grove,British
Faber,Heights,British
Tong Soon,Avenue,Chinese
Faber,Drive,British
Faber,Terrace,British
Faber,Green,British
Faber,Avenue,British
Faber,Park,British
Isnin,Jalan,Malay
Thong Soon,Green,Chinese
Minggu,Jalan,Malay
Hari Raya,Jalan,Malay
Chegar,Jalan,Malay
Pintau,Jalan,Malay
Kuak,Jalan,Malay
Rabu,Jalan,Malay
Khamis,Jalan,Malay
Springleaf,Road,British
Springleaf,Crescent,British
Springleaf,Height,British
Springleaf,Rise,British
Springleaf,Drive,British
Springleaf,Avenue,British
Springleaf,Garden,British
Springleaf,View,British
Springleaf,Lane,British
Springleaf,Walk,British
Springside,Avenue,Generic
Springside,Green,Generic
Meng Suan,Road,Chinese
Sam Leong,Road,Chinese
